SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
US-Twt,Twitchell Island,38.1087,-121.653,,CRO,15.6,421
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,234,DBF,5.83,803
US-UMd,UMBS Disturbance,45.5625,-84.6975,239,DBF,5.83,803
US-Var,Vaira Ranch- Ione,38.4133,-120.9507,129,GRA,15.8,559
US-WCr,Willow Creek,45.8059,-90.0799,520,DBF,4.02,787
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,1370,OSH,17.6,320
US-Wi0,Young red pine (YRP),46.6188,-91.0814,349,ENF,,
US-Wi1,Intermediate hardwood (IHW),46.7305,-91.2329,352,DBF,,
US-Wi2,Intermediate red pine (IRP),46.6869,-91.1528,395,ENF,,
US-Wi3,Mature hardwood (MHW),46.6347,-91.0987,411,DBF,,
US-Wi4,Mature red pine (MRP),46.7393,-91.1663,352,ENF,,
US-Wi5,Mixed young jack pine (MYJP),46.6531,-91.0858,353,ENF,,
US-Wi6,Pine barrens #1 (PB1),46.6249,-91.2982,371,OSH,,
US-Wi7,Red pine clearcut (RPCC),46.6491,-91.0693,335,OSH,,
US-Wi8,Young hardwood clearcut (YHW),46.7223,-91.2524,348,DBF,,
US-Wi9,Young Jack pine (YJP),46.6188,-91.0814,350,ENF,,
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,1531,GRA,15.64,407
US-WPT,Winous Point North Marsh,41.4646,-82.9962,175,WET,10.1,849
ZA-Kru,Skukuza,-25.0197,31.4969,359,SAV,21.9,547
ZM-Mon,Mongu,-15.4378,23.2528,1053,DBF,25,945
