site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CA-SF3,54.0916,-106.0053,caraib,293.9707767,275.5016558,336.1440306,315.7395767,334.4461549,350.2719217,421.3029489,396.2197585,452.8080631,425.0898856,431.765631,408.8985954,398.2924942,431.888017,370.4815995,382.964314,443.8034553,448.1523602,416.8336525,407.2457385,457.4621251,424.4208659,430.5133229,415.9301965,410.4970778,424.1754155,435.0943297,480.6980137,483.348699,460.4979974,419.6524263,439.9538122,416.0008888,435.0679832,458.7551071,476.3314283,457.9503604,410.3086472,436.3319661,473.6850917
CH-Cha,47.2102,8.4104,caraib,962.491555,923.5853139,980.096583,977.657008,981.585352,962.5826262,983.9672106,946.7435056,972.7311566,937.0205221,969.7155919,1005.935152,984.5194999,919.4525487,916.9886261,953.065726,954.6202197,982.0088778,983.8211288,960.8680725,942.3119018,1025.493145,999.737298,1046.433844,978.8736098,924.1772915,963.8262654,934.5532791,966.5766443,974.4070035,935.3436599,954.2790298,873.3102583,896.1996602,919.9491135,892.8432595,880.791402,886.1001422,868.9987062,851.6615209
CH-Dav,46.8153,9.8559,caraib,566.2137663,563.3773192,597.8853095,591.2852672,609.1760839,568.5142769,595.9823443,570.0197156,590.4748565,542.6990643,578.2499372,611.9161535,580.9373081,535.04015,580.6338083,586.9944128,600.234511,609.4895835,605.2670958,609.2834756,616.9657395,648.2000678,635.6679794,662.818204,630.9702366,622.0776995,675.1628555,640.2169755,656.3735823,635.0493238,640.7872634,645.7518079,618.3414448,622.9718168,619.8728941,642.9046815,645.6931003,660.1491595,622.6633109,631.6856059
CH-Fru,47.1158,8.5378,caraib,857.3154114,821.9039481,859.462825,856.5997252,871.4926629,854.1918059,874.07632,841.7817976,868.8136322,837.5356132,868.8990025,897.7277681,892.8319253,815.5310363,826.1961522,843.6150803,842.3587598,863.4048671,854.8621506,848.447867,824.6713683,888.4289938,855.3744089,905.3276496,847.9175953,809.3905479,852.1997933,824.7110536,836.8706307,848.6109631,815.2639007,831.6719623,796.3842287,793.3730157,809.0500232,795.6291657,789.6491143,786.3584201,778.6287977,754.7002277
CH-Lae,47.4781,8.365,caraib,962.491555,923.5853139,980.096583,977.657008,981.585352,962.5826262,983.9672106,946.7435056,972.7311566,937.0205221,969.7155919,1005.935152,984.5194999,919.4525487,916.9886261,953.065726,954.6202197,982.0088778,983.8211288,960.8680725,942.3119018,1025.493145,999.737298,1046.433844,978.8736098,924.1772915,963.8262654,934.5532791,966.5766443,974.4070035,935.3436599,954.2790298,873.3102583,896.1996602,919.9491135,892.8432595,880.791402,886.1001422,868.9987062,851.6615209
CH-Oe1,47.2858,7.7319,caraib,824.982203,788.9577663,859.516219,840.3660481,875.5440793,825.7032227,880.8734836,842.1533179,860.5557294,833.137687,855.9476894,883.2963851,854.4209126,800.4336216,789.2555775,834.5601068,843.9388938,867.2781779,830.0944619,823.5734667,814.7466233,871.2128547,861.8790837,903.6587905,834.4326889,782.5181379,824.3872206,795.002195,829.7609608,819.8215574,787.772809,794.0100126,716.3876173,742.8738377,755.2261646,750.7091983,733.4023239,731.5287045,706.3581559,700.968395
CH-Oe2,47.2863,7.7343,caraib,824.982203,788.9577663,859.516219,840.3660481,875.5440793,825.7032227,880.8734836,842.1533179,860.5557294,833.137687,855.9476894,883.2963851,854.4209126,800.4336216,789.2555775,834.5601068,843.9388938,867.2781779,830.0944619,823.5734667,814.7466233,871.2128547,861.8790837,903.6587905,834.4326889,782.5181379,824.3872206,795.002195,829.7609608,819.8215574,787.772809,794.0100126,716.3876173,742.8738377,755.2261646,750.7091983,733.4023239,731.5287045,706.3581559,700.968395
CN-Cha,42.4025,128.0958,caraib,314.6000022,314.7700911,344.6540482,320.8905488,343.1015893,300.6478624,338.6259687,340.1677532,330.4637854,324.6157955,335.681121,334.8380248,332.2040101,330.1846414,317.3977682,304.1163007,319.8837065,327.3461925,317.9500513,331.5306701,318.7337848,324.0441682,315.8556375,350.2215627,325.1190534,314.2988543,331.4589585,327.7994222,330.7049147,324.2392655,320.9449178,302.1279547,315.616854,328.0442123,324.78088,316.8761597,313.3767026,313.9853539,308.7456757,323.7723648
CN-Cng,44.5934,123.5092,caraib,1043.05114,861.0116399,951.8924585,1093.692047,890.5013851,933.687145,1115.944727,1054.085125,1078.305855,970.6150551,1033.5059,847.7645181,1171.931733,1012.22468,1091.084374,1044.987435,1077.500769,1157.381965,994.9361675,1231.216068,1084.389284,1126.335432,1042.873373,1190.321831,916.4059829,909.1852826,927.1854982,1148.141252,1002.145527,1018.181408,942.6681079,898.1333034,1041.953571,986.7102937,1164.519293,871.6397184,839.7767691,1086.073133,864.9093022,1025.292043
CN-Dan,30.4978,91.0664,caraib,439.3235037,349.9637665,397.6745165,427.4951069,382.1295588,382.3470056,470.0052039,412.1172415,429.6622223,524.0141675,419.6404281,398.4442475,392.0793213,412.3426917,458.291872,406.5537238,440.7395504,456.1000787,456.6303556,497.5879702,481.4650741,493.7853631,535.0971795,495.3071392,548.0384629,541.9423339,525.40823,602.9182207,631.5615497,613.1554624,615.7844736,627.6945678,670.6822305,661.6285887,676.5428881,603.4388162,665.8564254,705.0508373,596.5329499,642.8079706
